x=0, z=1, y=1
x=13, z=12, y=94
x=13, z=12, y=95
x=13, z=14, y=12
x=13, z=14, y=14
x=13, z=14, y=94
x=13, z=14, y=95
x=13, z=94, y=12
x=13, z=94, y=14
x=13, z=94, y=94
x=13, z=94, y=95
x=13, z=95, y=12
x=13, z=95, y=14
x=13, z=95, y=94
x=13, z=95, y=95
x=14, z=13, y=13
x=14, z=13, y=15
x=14, z=13, y=16
x=14, z=13, y=77
x=14, z=15, y=13
x=14, z=15, y=15
x=14, z=15, y=16
x=14, z=15, y=77
x=14, z=16, y=13
x=14, z=16, y=15
x=14, z=16, y=16
x=14, z=16, y=77
x=14, z=77, y=13
x=14, z=77, y=15
x=14, z=77, y=16
x=14, z=77, y=77
x=15, z=14, y=14
x=16, z=14, y=14
x=16, z=14, y=17
x=16, z=17, y=14
x=16, z=17, y=17
x=17, z=16, y=16
x=17, z=16, y=18
x=17, z=18, y=16
x=17, z=18, y=18
x=33, z=8, y=8
x=33, z=8, y=32
x=33, z=8, y=34
x=33, z=32, y=8
x=33, z=32, y=32
x=33, z=32, y=34
x=33, z=34, y=8
x=33, z=34, y=32
x=33, z=34, y=34
x=77, z=14, y=14
x=77, z=14, y=17
x=77, z=14, y=94
x=77, z=17, y=14
x=77, z=17, y=17
x=77, z=17, y=94
x=77, z=94, y=14
x=77, z=94, y=17
x=77, z=94, y=94
x=79, z=7, y=7
x=79, z=7, y=78
x=79, z=7, y=119
x=79, z=78, y=7
x=79, z=78, y=78
x=79, z=78, y=119
x=79, z=119, y=7
x=79, z=119, y=78
x=79, z=119, y=119
x=84, z=9, y=9
x=84, z=9, y=10
x=84, z=9, y=83
x=84, z=9, y=85
x=84, z=10, y=9
x=84, z=10, y=10
x=84, z=10, y=83
x=84, z=10, y=85
x=84, z=83, y=9
x=84, z=83, y=10
x=84, z=83, y=83
x=84, z=83, y=85
x=84, z=85, y=9
x=84, z=85, y=10
x=84, z=85, y=83
x=84, z=85, y=85
x=94, z=13, y=13
x=94, z=13, y=77
x=94, z=13, y=93
x=94, z=77, y=13
x=94, z=77, y=77
x=94, z=77, y=93
x=94, z=93, y=13
x=94, z=93, y=77
x=94, z=93, y=93
x=95, z=12, y=12
x=95, z=12, y=13
x=95, z=12, y=96
x=95, z=13, y=12
x=95, z=13, y=13
x=95, z=13, y=96
x=95, z=96, y=12
x=95, z=96, y=13
x=95, z=96, y=96
x=98, z=4, y=4
x=98, z=4, y=5
x=98, z=4, y=470
x=98, z=4, y=35729
x=98, z=5, y=4
x=98, z=5, y=5
x=98, z=5, y=470
x=98, z=5, y=35729
x=98, z=470, y=4
x=98, z=470, y=5
x=98, z=470, y=470
x=98, z=470, y=35729
x=98, z=35729, y=4
x=98, z=35729, y=5
x=98, z=35729, y=470
x=98, z=35729, y=35729
x=108, z=12, y=12
x=108, z=12, y=109
x=108, z=12, y=113
x=108, z=12, y=123
x=108, z=109, y=12
x=108, z=109, y=109
x=108, z=109, y=113
x=108, z=109, y=123
x=108, z=113, y=12
x=108, z=113, y=109
x=108, z=113, y=113
x=108, z=113, y=123
x=108, z=123, y=12
x=108, z=123, y=109
x=108, z=123, y=113
x=108, z=123, y=123
x=110, z=10, y=10
x=110, z=10, y=11
x=110, z=10, y=111
x=110, z=10, y=112
x=110, z=11, y=10
x=110, z=11, y=11
x=110, z=11, y=111
x=110, z=11, y=112
x=110, z=111, y=10
x=110, z=111, y=11
x=110, z=111, y=111
x=110, z=111, y=112
x=110, z=112, y=10
x=110, z=112, y=11
x=110, z=112, y=111
x=110, z=112, y=112
x=385, z=1, y=1
x=385, z=1, y=384
x=385, z=1, y=386
x=385, z=384, y=1
x=385, z=384, y=384
x=385, z=384, y=386
x=385, z=386, y=1
x=385, z=386, y=384
x=385, z=386, y=386
x=419, z=3, y=3
x=419, z=3, y=420
x=419, z=3, y=35698
x=419, z=420, y=3
x=419, z=420, y=420
x=419, z=420, y=35698
x=419, z=35698, y=3
x=419, z=35698, y=420
x=419, z=35698, y=35698
x=420, z=4, y=4
x=420, z=4, y=419
x=420, z=4, y=35709
x=420, z=419, y=4
x=420, z=419, y=419
x=420, z=419, y=35709
x=420, z=35709, y=4
x=420, z=35709, y=419
x=420, z=35709, y=35709
x=422, z=3, y=3
x=422, z=3, y=183
x=422, z=3, y=423
x=422, z=3, y=37415
x=422, z=183, y=3
x=422, z=183, y=183
x=422, z=183, y=423
x=422, z=183, y=37415
x=422, z=423, y=3
x=422, z=423, y=183
x=422, z=423, y=423
x=422, z=423, y=37415
x=422, z=37415, y=3
x=422, z=37415, y=183
x=422, z=37415, y=423
x=422, z=37415, y=37415
x=469, z=0, y=0
x=469, z=0, y=380
x=469, z=0, y=37415
x=469, z=380, y=0
x=469, z=380, y=380
x=469, z=380, y=37415
x=469, z=37415, y=0
x=469, z=37415, y=380
x=469, z=37415, y=37415
